,Sub_Zone,Segment,Longitude,Latitude,Sed_Thick,Age,Dip,Vel,Rough,sSSE,lSSE,Max_mag
143,Alaska_Aleutian,143.0,-149.9179441,56.6555718,410.3798971,40.40642971,4.761474558,55.87888689,4.692236009,N,Y,5.7
144,Alaska_Aleutian,144.0,-149.6015325,56.79376297,415.0204627,40.03249423,4.330187984,55.64562966,5.13259151,N,Y,5.1
145,Alaska_Aleutian,145.0,-149.280261,56.93171647,437.1513458,40.08623651,2.973220929,55.41431584,4.776516918,N,Y,4.2
146,Alaska_Aleutian,146.0,-148.9453803,57.05822499,500.2087418,39.84080529,4.032795928,55.18496987,5.564045653,N,Y,4.9
147,Alaska_Aleutian,147.0,-148.6114193,57.17849334,545.0409522,39.65860349,3.298057843,54.9576164,7.166179222,N,Y,9.2
148,Alaska_Aleutian,148.0,-148.2470937,57.27116405,564.8463454,39.83736971,3.387594884,54.73895231,7.636355803,N,Y,9.2
149,Alaska_Aleutian,149.0,-147.889395,57.37299692,643.9711382,38.7987838,3.169305609,54.42108415,4.676716318,N,Y,9.2
150,Alaska_Aleutian,150.0,-147.6363425,57.53989975,756.8146055,37.67113977,2.864886557,54.2059969,32.80826215,N,Y,9.2
151,Alaska_Aleutian,151.0,-147.3950158,57.71888922,766.8323633,38.13646778,2.938558179,54.08444231,29.13672928,N,N,9.2
152,Alaska_Aleutian,152.0,-147.1025239,57.87984653,801.1544792,37.64798561,3.125874354,53.86402232,32.67375155,N,N,9.2
153,Alaska_Aleutian,153.0,-146.801193,58.03640987,830.6087799,37.47133594,3.63024501,53.64586564,32.37625715,N,N,9.2
154,Alaska_Aleutian,154.0,-146.5124372,58.19582009,868.2359126,36.74756656,3.690463924,53.43,4.747791423,U,N,9.2
155,Alaska_Aleutian,155.0,-146.3020061,58.38445725,936.8533032,35.6006276,3.167754695,53.22521583,2.605039276,U,U,9.2
156,Alaska_Aleutian,156.0,-146.1415153,58.5899173,993.8007106,35.65914531,3.476925465,53.02814441,3.449864431,Y,U,9.2
157,Alaska_Aleutian,157.0,-145.9176611,58.77576297,929.7576043,36.1923177,3.340337027,52.82441576,3.495414021,Y,Y,9.2
158,Alaska_Aleutian,158.0,-145.6274432,58.94199462,975.9354775,35.85518734,2.899708025,52.6173441,4.223777925,Y,Y,9.2
159,Alaska_Aleutian,159.0,-145.3016508,59.07912708,983.3128747,36.23007668,2.786027719,52.41269789,5.208752318,Y,Y,9.2
160,Alaska_Aleutian,160.0,-144.9090846,59.15789908,997.5269143,36.4143986,2.720283425,52.21311713,6.059711726,Y,Y,9.2
161,Alaska_Aleutian,161.0,-144.4805498,59.19090419,1011.044468,36.06387285,4.535147275,51.92685625,4.689827074,U,N,9.2
162,Alaska_Aleutian,162.0,-144.0483245,59.20821778,1052.989956,35.26272161,5.044258293,51.64730003,3.052081275,N,N,9.2
163,Alaska_Aleutian,163.0,-143.6488342,59.18504323,1061.926663,35.38002488,,51.48092462,3.686760682,U,U,9.2
164,Cascadia,0.0,-124.8185616,38.11228212,595.6552792,27.62603189,,29.92123828,2.07759509,U,U,0.0
165,Cascadia,1.0,-124.8377247,38.33684343,606.3592447,27.42313489,,30.1919741,2.306833864,U,U,0.0
166,Cascadia,2.0,-124.8568856,38.56140027,616.2287946,27.20611241,,30.45779375,3.116698079,U,U,0.0
167,Cascadia,3.0,-124.8760476,38.78595244,635.8536006,26.74727052,,30.73010576,3.758210025,U,U,0.0
168,Cascadia,4.0,-124.8952107,39.01049995,661.2451785,24.26727671,,30.99754345,8.913370162,U,U,0.0
169,Cascadia,5.0,-124.9143749,39.23504277,682.9449432,23.01896924,,31.27134951,3.165389407,U,U,0.0
170,Cascadia,6.0,-124.9335404,39.45958091,695.159098,22.77872991,,31.53752368,2.879968583,U,U,0.0
171,Cascadia,7.0,-124.9527062,39.68411442,700.2167333,21.44033737,,31.80718944,2.536672266,Y,N,5.96
172,Cascadia,8.0,-124.971867,39.90864374,706.6835527,17.84746676,13.80926562,32.08305004,8.412153716,Y,N,6.02
173,Cascadia,9.0,-124.9910236,40.13316879,711.2368111,17.99461041,13.62586972,32.34573388,10.74151523,Y,N,7.12
174,Cascadia,10.0,-125.0101814,40.35768912,641.5523162,16.75424544,13.58525172,32.62288307,32.06282894,Y,N,7.12
175,Cascadia,11.0,-125.0293404,40.58220474,487.7192285,8.474697645,13.86888962,32.8921936,28.07566522,Y,N,7.12
176,Cascadia,12.0,-125.0485005,40.80671562,388.6487682,4.019326221,14.67154309,33.16522426,16.04272812,Y,N,7.12
177,Cascadia,13.0,-125.067662,41.03122178,330.9105696,3.72889423,15.80085024,33.43568453,20.81257309,Y,N,7.41
178,Cascadia,14.0,-125.0868247,41.25572319,273.442767,3.630484047,17.10162942,33.70995254,20.06172338,Y,N,7.41
179,Cascadia,15.0,-125.105987,41.48022,228.9800859,3.500088583,18.58737268,33.98150674,21.49877225,Y,N,6.5
180,Cascadia,16.0,-125.125144,41.70471257,211.9561942,3.268340568,19.98290286,34.25356186,19.20039162,Y,N,5.9
181,Cascadia,17.0,-125.1442974,41.92920077,215.1976584,3.133686891,20.73995512,34.52954966,19.98600499,Y,N,6.9
182,Cascadia,18.0,-125.163452,42.15368421,237.859596,3.048971965,20.4585186,34.80262203,15.58881357,Y,N,6.9
183,Cascadia,19.0,-125.182608,42.37816288,284.8083604,2.848675318,19.08462332,35.07108923,9.805113971,Y,N,6.9
184,Cascadia,20.0,-125.2017652,42.6026368,341.2334292,2.632850023,16.85126413,35.34511282,9.327002988,Y,N,5.96
185,Cascadia,21.0,-125.2209239,42.82710594,393.8077836,2.547623939,14.17277336,35.61958029,7.965835481,Y,N,5.96
186,Cascadia,22.0,-125.2400839,43.05157031,465.2523345,2.908201254,11.71099378,35.88950404,6.773035851,Y,N,5.96
